Experiment: SpeedGrowth_Control,Analysis: Analysis 1,User: Integral2,Plate: AZ_01,Plate Type: 384 Well,Plate Order: Row
Well ID,Well Type,Gt4 as % of cells,,,
A01,Sample,0.252167061,,,
A02,Sample,0.599149594,,,
A03,Sample,0.687941907,,,
A04,Sample,1.171875,,,
A05,Sample,0.105960265,,,
A06,Sample,0.25,,,
A07,Sample,0.589050589,,,
A08,Sample,0.522846101,,,
A09,Sample,0.39107211,,,
A10,Sample,0.661355779,,,
A11,Sample,0.841151731,,,
A12,Sample,0.919881306,,,
A13,Sample,1.287332647,,,
A14,Sample,1.817210048,,,
A15,Sample,2.640503876,,,
A16,Sample,0.961538462,,,
A17,Sample,0.715539355,,,
A18,Sample,0.97209721,,,
A19,Sample,1.54887218,,,
A20,Sample,2.43237984,,,
A21,Sample,0.973123262,,,
A22,Sample,1.09642051,,,
A23,Sample,0.670957141,,,
A24,Sample,1.351981352,,,
B01,Sample,0.245022971,,,
B02,Sample,0.336047564,,,
B03,Sample,0.405244338,,,
B04,Sample,0.27331739,,,
B05,Sample,0.106647707,,,
B06,Sample,0.095510984,,,
B07,Sample,0.641241984,,,
B08,Sample,1.141890463,,,
B09,Sample,0.118934348,,,
B10,Sample,0.213320692,,,
B11,Sample,0.758122744,,,
B12,Sample,0.76433121,,,
B13,Sample,1.113642116,,,
B14,Sample,1.308061933,,,
B15,Sample,1.57640478,,,
B16,Sample,0.991766467,,,
B17,Sample,0.844865259,,,
B19,Sample,1.427050053,,,
B21,Sample,1.859229748,,,
B23,Sample,0.967184801,,,
C01,Sample,0.444049734,,,
C02,Sample,0.367755222,,,
C03,Sample,0.516444686,,,
C04,Sample,0.635157855,,,
C05,Sample,0.640099112,,,
C06,Sample,0.512719385,,,
C07,Sample,1.285956007,,,
C08,Sample,0.438946528,,,
C09,Sample,0.746460746,,,
C10,Sample,1.028433152,,,
C11,Sample,1.157830591,,,
C12,Sample,0.572709163,,,
C13,Sample,1.255230126,,,
C14,Sample,2.118742724,,,
C15,Sample,0.556521739,,,
C16,Sample,0.367917586,,,
C17,Sample,1.012373453,,,
C18,Sample,1.617562103,,,
C19,Sample,1.437699681,,,
C20,Sample,1.907744875,,,
C21,Sample,1.386962552,,,
C22,Sample,1.665186501,,,
C23,Sample,1.00308642,,,
C24,Sample,1.322678424,,,
D01,Sample,0.293481619,,,
D02,Sample,0.366386952,,,
D03,Sample,0.301369863,,,
D04,Sample,0.967883854,,,
D05,Sample,0.423165276,,,
D06,Sample,0.613700448,,,
D07,Sample,0.558116962,,,
D08,Sample,1.078167116,,,
D09,Sample,0.643086817,,,
D10,Sample,1.01461039,,,
D11,Sample,0.810611643,,,
D12,Sample,0.999318646,,,
D13,Sample,0.979305248,,,
D14,Sample,0.537634409,,,
D15,Sample,0.263019463,,,
D16,Sample,0.485773768,,,
D17,Sample,0.998253057,,,
D19,Sample,1.489188086,,,
D21,Sample,1.390605686,,,
D23,Sample,0.979048365,,,
E01,Sample,0.435219284,,,
E02,Sample,0.367107195,,,
E03,Sample,0.942236788,,,
E04,Sample,0.689464975,,,
E05,Sample,1.152542373,,,
E06,Sample,0.852771507,,,
E07,Sample,0.811981234,,,
E08,Sample,1.13660282,,,
E09,Sample,1.256185763,,,
E10,Sample,1.160092807,,,
E11,Sample,1.026737968,,,
E12,Sample,1.482579689,,,
E13,Sample,1.024590164,,,
E14,Sample,1.841881553,,,
E15,Sample,1.82790905,,,
E16,Sample,1.040462428,,,
